106788885/621067383545962496: 106788885/621065392346263552
333625062/621066909249835008: 22035456/None
2475948012/621065988415488000: 637325592/621065628225372160
138526255/621065474009366528: 1710732889/621065407701463041
234203819/621059612406583296: 2517988075/None
598387301/621057480227991553: 14372486/621040208205750272
831573920/621054476288434176: 6160792/621052529967763456
3124248551/621052948278161408: 6160792/621052529967763456
184612775/621047880665706496: 817977/620974673724088320
1892130284/621039977359634432: 23865382/620666672081297408
3261944526/621037807583100928: 3261944526/621037744278482944
38772269/621037726884716544: 237430424/620737362608324608
322210112/621037196502413312: 174364469/621036871280259072
2893135260/621026209732931584: 69329527/621023644651810816
2920046630/621010866809405440: 33986037/620970329758924800
34350026/621002977717846017: 401100661/None
15544659/621000380315496448: 14861000/620999658437869568
15544659/620999100465586176: 14861000/620998746269024256
518180622/620992341365526528: 820585/620991014090735616
984851/620992019498823681: 452617849/620991234375593984
3303005145/620987996217565184: 365323698/620905784130441216
309819754/620985197098500097: 309819754/None
153168449/620982017057030144: 775142/620980992073953280
14426341/620967902741573637: 348174495/None
157311093/620967682775498754: 6892312/None
156807569/620954817494708224: 197962366/620923141934698496
48272332/620951151551324160: 48272332/620950376330735616
1229291/620948755274166272: 23004495/620948110928388096
2802795169/620944494934884352: 2590733844/None
2590733844/620944335949803520: 2590722864/None
70335795/620943676383064065: 2421423498/None
34350026/620943081970405376: 401100661/None
2975073528/620941892876943360: 83339474/620941263743758336
38169764/620939104826425345: 395641908/None
757169850/620935621419274240: 3244765190/620930148263677952
38169764/620881211792080896: 395641908/None
2824084715/620878059202174976: 2706287791/620877848211918848
138526255/620869276241686528: 1890992798/620869234051002368
1391351/620866387444011008: 19577858/620865332459126784
1892130284/620856653936730112: 1321359990/None
358411200/620841935826063360: 3116532920/620841837096337408
2538026727/620833837925441536: 2538026727/620832891732381696
59023240/620831959170703360: 424806929/620824750869381120
1382656014/620811031259017216: 17200400/620738737035681793
30574935/620805010859802626: 14372486/620786056087109632
158648937/620800594408673280: 5668942/None
14917177/620799183620997120: 14917177/None
221124325/620797999577337856: 2890961/None
409183088/620797082434146304: 49973657/None
255600145/620790624728408067: 255600145/None
38169764/620790593258557442: 32453798/None
1222903296/620790491563470848: 14372486/None
3160414758/620787321768579072: 1605/619732629990981632
2926458380/620753797564923904: 2926458380/None
17768833/620753325185740800: 11459372/620752808342491136
865421035/620747679711297536: 865421035/620744175483527168
2253460652/620739621035479040: 2253460652/None
14360516/620737304269877248: 211620426/620736933375922182
31159047/620734374846205952: 14515799/None
22873285/620733383753097217: 796939807/620733322113617920
865421035/620726417513426944: 1398479138/None
865421035/620725469864980480: 1398479138/None
126895313/620722673971105792: 16491683/620722341044092929
1230080953/620719878173888512: 1230080953/620300997294997505
20714338/620716052339535880: 9532402/620713962485645312
15023698/620714795231109120: 18703437/None
1111657680/620712287708385280: 1384765297/620709198368796672
15771412/620709158715691008: 547860279/None
348887169/620707640008552448: 213169226/None
348887169/620702473834090496: 17264476/None
2926458380/620701220529770496: 2926458380/None
19185772/620694158475427840: 18343801/620688369178144768
8883212/620687168755773444: 18359716/620686871295733760
236058338/620680711717031936: 177422934/None
177422934/620680701596205057: 177422934/None
811747524/620680689445265408: 177422934/None
567281967/620680663721578496: 177422934/None
623157717/620677818196754432: 20562637/620674967487823872
324924857/620676603073425408: 1850333580/None
10636762/620660446480199680: 17837051/620658328616615936
2881663596/620659603223609344: 14187428/619980904002273280
19880868/620659577873395712: 2913722920/620303785445978112
2571342366/620659220300496896: 59684261/620658646230396928
766672476/620654735805120512: 8315692/620654480539791360
2571342366/620651299390906368: 59684261/620651045157474304
3257537870/620650949560774657: 2353828890/620650182015762433
91476974/620650218808193024: 2571342366/620650064302641152
1909169437/620649358359289856: 5668942/None
91476974/620647822077997056: 91476974/620647704700436480
198037129/620647283541958656: 759251/None
2571342366/620646433046179844: 59684261/620646257741180929
199674627/620634554479562752: 6655612/None
509575447/620633365901766656: 729623754/None
176898389/620631858502569984: 468531094/None
468531094/620631855864393728: 468531094/None
31211056/620631415873519616: 31211056/None
121637897/620609589998845953: 50737284/620606540618182656
70335795/620607850860122112: 2421423498/None
70335795/620607845915078656: 2421423498/None
734197130/620603224928722944: 684743/620601841449988096
17150586/620601126979768320: 7426632/620590991876042752
792978680/620583027886923776: 59684261/620582740539363328
371980886/620572358387101696: 2467791/620566032369983488
192208212/620552671703904256: 192208212/620552541575626752
250784913/620544645999628288: 7905122/620541697613672448
463603357/620538135206735872: 336002124/620537495898357761
42844321/620536016860872704: 2557016113/620535732772413441
1179527539/620526917788135425: 2586776670/620526211131834368
237430424/620518495340474368: 3171557865/620518342365872128
237430424/620518243388633088: 27141515/620435047342977024
3233291010/620516684017700865: 807095/None
138526255/620507196120526848: 148121332/620507175098515456
3148859905/620497761356480512: 482388629/None
193798935/620457726863237120: 1680866616/620423611082371072
142093641/620451762588155905: 811377/None
876380562/620436661026062336: 807095/619653611161821184
1581763255/620436355953332224: 195129672/620433642364342272
30441164/620432756330393600: 20771468/620419101236686848
237478163/620429853582585856: 2200703902/620403246658650113
